TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_PRECISION_RADIX;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_CATALOG;CHARACTER_SET_SCHEMA;CHARACTER_SET_NAME;COLLATION_CATALOG;COLLATION_SCHEMA;COLLATION_NAME;DOMAIN_CATALOG;DOMAIN_SCHEMA;DOMAIN_NAME
RECREG_PROD;RETFact;vSmallUnitRegistration;Registration_Start_Dim_Date_ID;1;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Registration_End_Dim_Date_ID;2;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Dim_Small_Unit_Registration_ID;3;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Small_Unit_Installer_ID;4;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Small_Unit_Owner_ID;5;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU_Designer_ID;6;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU_Electrician_ID;7;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Fuel_Source_ID;8;NA;NO;varchar;255;255;NA;NA;NA;NA;NA;NA;iso_1;NA;NA;Latin1_General_CI_AS;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Account_ID;9;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Small_Unit_Assessment_ID;10;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Eligible Quantity;11;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Multiplier Used;12;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU Rated Output in kW;13;NA;YES;numeric;NA;NA;10;10;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU Panels Quantity;14;NA;YES;numeric;NA;NA;6;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Deeming Period in Years;15;NA;YES;numeric;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU Out of Pocket Expense;16;NA;YES;numeric;NA;NA;12;10;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;SGU Out of Pocket Expense per kW;17;NA;YES;numeric;NA;NA;12;10;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Created without Multiplier Quantity;18;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Created by Multiplier Quantity;19;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Created Quantity;20;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Passed Audit Quantity;21;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Failed Audit Quantity;22;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Pending Audit Quantity;23;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;RECs Registered Quantity;24;NA;NO;numeric;NA;NA;38;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC Type;25;NA;NO;varchar;10;10;NA;NA;NA;NA;NA;NA;iso_1;NA;NA;Latin1_General_CI_AS;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC_Creation_Dim_Date_ID;26;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;First_Validation_Audit_Dim_Date_ID;27;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;First_Validation_Audit_By_User_ID;28;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;First_Passed_Validation_Audit_Dim_Date_ID;29;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;First_Passed_Validation_Audit_By_User_ID;30;NA;NO;numeric;NA;NA;19;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Registration Start to REC Creation Lag in Days;31;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC Creation to First Audit Lag in Days;32;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC Creation to First Pass Audit Lag in Days;33;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Small Unit Installation to REC Creation Lag in Days;34;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;First Pass Audit to Fee Paid Lag in Days;35;NA;YES;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Registration_Start_to_REC_Creation_Lag_in_Days_Dim_Time_Interval_ID;36;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC_Creation_to_First_Audit_Lag_in_Days_Dim_Time_Interval_ID;37;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;REC_Creation_to_First_Pass_Audit_Lag_in_Days_Dim_Time_Interval_ID;38;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECREG_PROD;RETFact;vSmallUnitRegistration;Small_Unit_Installation_to_REC_Creation_Lag_in_Days_Dim_Time_Interval_ID;39;NA;NO;int;NA;NA;10;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
